,Ciudad,Dueño,Nivel,Alianza,Isla,xCoord,yCoord
3534,Leon,Eduard88,7,ESG,Meuzios,49,61
3536,Ciudad A,Doren,10,BkDrt,Loolios,49,62
3537,PASION ABSOLUTA,KKCHI,11,None,Loolios,49,62
3538,Polis,Cholirmo,6,None,Loolios,49,62
3539,Azufre 01,Suzuki,6,None,Loolios,49,62
3540,Polis,Arauco,10,CZD,Loolios,49,62
3541,Polis,cahio,1,VKO,Loolios,49,62
3542,Ismazufre,Ismataco,5,None,Loolios,49,62
3543,Ciudad D,Doren,2,BkDrt,Loolios,49,62
3544,Sharukas,Rastaboy,6,ESG,Loolios,49,62
3545,Polis,Fmdmr28,1,None,Loolios,49,62
3546,DI Unbreakable,Kono Dio da,1,ESG,Loolios,49,62
3547,Ciudad C,Doren,8,BkDrt,Loolios,49,62
3548,SAN MARTIN,Juancho,10,BkDrt,Loolios,49,62
3549,Ciudad B,Doren,8,BkDrt,Loolios,49,62
3550,Agron,DiegoTM,4,None,Loolios,49,62
3551,Hulk,Hulk18265,3,None,Loolios,49,62
3553,VILLA LIBERTAD,Juancho,10,BkDrt,Kisoios,50,62
3554,culioculea,Arauco,10,CZD,Kisoios,50,62
3555,Trabanco,Ovetus,6,VKO,Kisoios,50,62
3556,Polis,Raord,2,None,Kisoios,50,62
3557,Vino 01,Suzuki,6,None,Kisoios,50,62
3558,Polis,cahio,10,VKO,Kisoios,50,62
3559,El altillo,zarpa,9,xVx,Kisoios,50,62
3560,Raccoon U1H1,Kirby,8,-MaF-,Kisoios,50,62
3561,Polis,Ryu,7,VKO,Kisoios,50,62
3562,Levon,Gengis Kan,7,-MaF-,Kisoios,50,62
3563,Santa rosa,Rottweilas,9,-MaF-,Kisoios,50,62
3564,Elysium,OvErPoU,12,-MaF-,Kisoios,50,62
3565,Ismaviña,Ismataco,9,None,Kisoios,50,62
3566,Acuario,Pitonisa,10,-MaF-,Kisoios,50,62
3567,VIOLETA,LeonardoL,8,VKO,Kisoios,50,62
3568,girona,bubu,12,VKO,Kisoios,50,62
3570,Los Pario II,black332,5,VKO,Engytia,50,61
3571,Montmeló,cazador gustahv,9,CZD,Engytia,50,61
3572,Polis,Village,7,None,Engytia,50,61
3573,Caseta de patos,Pato_de_parque,8,None,Engytia,50,61
3574,Wrath,Kaoreth,11,None,Engytia,50,61
3575,Agustgrad,Andromeda,4,None,Engytia,50,61
3576,Ismarmol,Ismataco,8,None,Engytia,50,61
3577,white,You lose,11,CZD,Engytia,50,61
3578,Esparta,Lewis23,10,ESG,Engytia,50,61
3579,Pedreira,Cholirmo,1,None,Engytia,50,61
3580,Aiur,Rastaboy,9,ESG,Engytia,50,61
3581,Polis,Xbot01,3,None,Engytia,50,61
3582,torre,Baseh,8,ESG,Engytia,50,61
3583,Mármol 01,Suzuki,6,None,Engytia,50,61
3584,Lobos,pablogma,4,None,Engytia,50,61
3585,urena,Orpheus-7747,9,VKO,Engytia,50,61
3590,PONTEVEDRA,TRAJANO,2,TIBUR,Snorios,52,61
3615,SULPHUR,Viktor,5,VKO,Tralios,52,62
3616,Polis,Kirby,1,-MaF-,Tralios,52,62
3621,Rivendel,Rundael,7,None,Ashytia,53,61
3622,Camelot,Kushluk,6,None,Ashytia,53,61
3623,Plutón,bodjsecivar,4,TIBUR,Ashytia,53,61
3624,PETROL,Enzo21,6,None,Ashytia,53,61
3626,Desembarco,hector97,5,PTN,Ashytia,53,61
3627,BYP01uva,byp01,5,PTN,Ashytia,53,61
3628,Kithovipholis,Tydeus-5704,7,None,Ashytia,53,61
3629,VINOX,Viktor,8,VKO,Ashytia,53,61
3630,Parkway Drive,Kiraii,10,-MaF-,Ashytia,53,61
3631,Bencina,GimleTt,9,JPS,Ashytia,53,61
3632,Viñapolis,Pollux-9781,10,TIBUR,Ashytia,53,61
3633,ElBillyAlquimis,ElBilly,11,JPS,Ashytia,53,61
3634,feopolisVino,Cygnus,8,JPS,Ashytia,53,61
3635,Polivino,eslaifer,4,TIBUR,Ashytia,53,61
3636,Vinopolis,mikipetas3,6,TIBUR,Ashytia,53,61
3638,Neoéspero,Ekron,1,None,Rethiios,53,62
3639,Polis,ParisII,1,None,Rethiios,53,62
3640,MARMOT,Enzo21,2,None,Rethiios,53,62
3641,Kronos,Greed,10,T-I,Rethiios,53,62
3642,Gondor,Rundael,7,None,Rethiios,53,62
3643,MARMOR,Viktor,8,VKO,Rethiios,53,62
3644,Neptuno,bodjsecivar,6,TIBUR,Rethiios,53,62
3645,LUGO,TRAJANO,7,TIBUR,Rethiios,53,62
3646,Rocamora,Pollux-9781,10,TIBUR,Rethiios,53,62
3648,Polis,Prometheus-9623,2,None,Rethiios,53,62
3649,Tranqui,Kazeh,10,JPS,Rethiios,53,62
3650,TequeroumIII,Linthucillo,6,PTN,Rethiios,53,62
3652,Carpanta,BANI,9,None,Rethiios,53,62
3653,Marmopolis,mikipetas3,5,TIBUR,Rethiios,53,62
3655,Carpanta 1,BANI,9,None,Smywios,54,61
3656,Bhopal,belladona,1,-MaF-,Smywios,54,61
3657,La Chaque,Rottweilas,9,-MaF-,Smywios,54,61
3658,America,Kushluk,3,None,Smywios,54,61
3659,Raccoon C1P1,Kirby,8,-MaF-,Smywios,54,61
3660,Polis,Gladiator,1,None,Smywios,54,61
3661,Cristalithe,Pollux-9781,10,TIBUR,Smywios,54,61
3662,Belmet,Gengis Kan,8,-MaF-,Smywios,54,61
3663,Cristal-Delfin,milford,13,-MaF-,Smywios,54,61
3664,Espejos,Odysseus-,10,LhO,Smywios,54,61
3665,Togotham,Jumer,14,-MaF-,Smywios,54,61
3666,Polis,Lord Stark,10,-MaF-,Smywios,54,61
3667,The Weird City,OvErPoU,11,-MaF-,Smywios,54,61
3668,Polis,Ardilla Canibal,10,-MaF-,Smywios,54,61
3669,Ninfa,Cucumelo,2,None,Smywios,54,61
3670,Rea,Greed,10,T-I,Smywios,54,61
3672,Polis,Ihostiin,4,None,Tejios,54,60
3673,Soleriam,Zenku,4,None,Tejios,54,60
3674,Sparta,dolexs89,6,-EE-,Tejios,54,60
3677,Jhorking,Jhordan warrior,9,GOLD,Tejios,54,60
3678,Donostia,Adrirostro96,9,PTN,Tejios,54,60
3679,3OO,Casillas,7,PTN,Tejios,54,60
3680,Trivium,Kiraii,11,-MaF-,Tejios,54,60
3681,Pueblo de papel,barcodepapel,5,None,Tejios,54,60
3682,Azufre,Josky,6,LhO,Tejios,54,60
3683,Arcadia,Rundael,2,None,Tejios,54,60
3684,Sulf,Pollux,2,PTN,Tejios,54,60
3689,Königsberg,Ziuster,11,HANSA,Rhezios,55,60
3690,Wimbledon,Roger F,9,None,Rhezios,55,60
3691,DISTRITO TROST,Berthold,3,None,Rhezios,55,60
3692,Sendic ANCAP,PIKARIAM,4,-NP-,Rhezios,55,60
3693,Marmol,Josky,10,LhO,Rhezios,55,60
3694,These Days,Dave Grohl,8,None,Rhezios,55,60
3695,Bolovani,Pollux,8,PTN,Rhezios,55,60
3696,Lanza del Sol,Aegon Targaryen,13,-CB-,Rhezios,55,60
3697,Flor de Piedra,Ardilla Canibal,13,-MaF-,Rhezios,55,60
3698,Hakuna Matata,seta,10,PTN,Rhezios,55,60
3699,Jordi el niño,Peleus-6219,12,None,Rhezios,55,60
3700,The Boring City,OvErPoU,13,-MaF-,Rhezios,55,60
3701,Linkin Park,Kiraii,13,-MaF-,Rhezios,55,60
3702,BLACK PANTHER,Casillas,10,PTN,Rhezios,55,60
3703,País de papel,barcodepapel,7,None,Rhezios,55,60
3704,Kithomarpholis,Tydeus-5704,10,None,Rhezios,55,60
3706,Konoha Vino,Kuxo,8,-NP-,Soirios,54,59
3707,Uva,Josky,8,LhO,Soirios,54,59
3709,Polis,Zpat095,4,PTN,Soirios,54,59
3710,Polis,Pulmonia,1,-CB-,Soirios,54,59
3711,Vinito,GeoChan,10,LhO,Soirios,54,59
3713,Ciudad de papel,barcodepapel,5,None,Soirios,54,59
3714,Borrachasa,Ag97us,11,LhO,Soirios,54,59
3716,ROMPEHUESOS,Casillas,11,PTN,Soirios,54,59
3717,Te queroum II,Linthucillo,7,PTN,Soirios,54,59
3718,Lunariam,Zenku,3,None,Soirios,54,59
3719,Leira3,Leira,3,-LR-,Soirios,54,59
3720,Vino,Pollux,4,PTN,Soirios,54,59
3721,Polis,seta,7,PTN,Soirios,54,59
3723,ChonPolis,Chon8,6,None,Kayios,55,59
3724,BYP01,byp01,6,PTN,Kayios,55,59
3725,Aldea de papel,barcodepapel,4,None,Kayios,55,59
3726,Polis,Icarus-5835,6,PTN,Kayios,55,59
3727,Rocadragón,hector97,6,PTN,Kayios,55,59
3728,The Jungle,seta,10,PTN,Kayios,55,59
3729,Polis,Icarus-4958,1,None,Kayios,55,59
3734,Troxeux,Zpat095,8,PTN,Kayios,55,59
3735,Aransa,Basuli,7,-LR-,Kayios,55,59
3736,Metalick,GeoChan,11,LhO,Kayios,55,59
3737,Cronos,Nardo96,2,None,Kayios,55,59
3738,Hércules,Davidsolis,6,None,Kayios,55,59
3753,Molina,Nardo96,4,None,Burios,56,59
3757,Penepolis,nicotheone_2007,5,None,Taieos,56,58
3758,Niño Slyce,PIKARIAM,11,-NP-,Taieos,56,58
3759,Katon,Kasiopea,9,300,Taieos,56,58
3760,Polis,Icarus-5835,2,PTN,Taieos,56,58
3761,Erebor,Shail,7,-LR-,Taieos,56,58
3762,Planta,Nardo96,10,None,Taieos,56,58
3763,LOBO ALFA,SombraDeRosas,10,None,Taieos,56,58
3764,Maracana,El Charrua,7,-NP-,Taieos,56,58
3765,Lobo blanco,cesarLm,10,300,Taieos,56,58
3766,Azufre 1,Kiling,8,LhO,Taieos,56,58
3767,PauliMatrix,Nomastro,7,None,Taieos,56,58
3768,Polis,Icarus-4399,1,None,Taieos,56,58
3769,Azufrir,Tyraell,8,-MaF-,Taieos,56,58
3770,Antigua,Eliux,8,GDM,Taieos,56,58
3771,AZUFRE LEXON,Lexon,9,LhO,Taieos,56,58
3772,darth vader,VecinoInfernal,6,None,Taieos,56,58
3779,CRISTAL LEXON,Lexon,2,LhO,Blujios,57,58
3791,Sta Lucía,Rob3rto,12,-MaF-,Halteios,56,57
3792,The Iron Bank,Lord Morcilla,7,IRON,Halteios,56,57
3793,MARMOL LEXON,Lexon,10,LhO,Halteios,56,57
3794,Asia,Strogonob,5,None,Halteios,56,57
3795,marmolin,alsinaa,6,-NP-,Halteios,56,57
3796,Polis,Herakles-6774,8,None,Halteios,56,57
3797,TheRockThrone,Fynhx,15,HDP,Halteios,56,57
3798,Ciudad Antigua,Eliux,10,GDM,Halteios,56,57
3799,Guelfi,Mancloud,1,-NP-,Halteios,56,57
3800,Polis,nic,9,None,Halteios,56,57
3801,Escorpio,Pitonisa,10,-MaF-,Halteios,56,57
3802,Celestial,Sara,12,-CB-,Halteios,56,57
3803,Polis,bebe,1,None,Halteios,56,57
3804,DOSS,Vándalo Salvaje,13,-CB-,Halteios,56,57
3805,Retiarius,Gladiator,12,None,Halteios,56,57
3806,CCUATRO,Vándalo Salvaje,8,-CB-,Halteios,56,57
3808,Arco de triunfo,wolfteam11,15,-NP-,Smuruios,57,57
3809,CDS,Peñarol,11,-NP-,Smuruios,57,57
3810,Cerveza Lho,Laertix,11,LhO,Smuruios,57,57
3811,Polis,Titofara,5,ESG,Smuruios,57,57
3812,Melanies,El Qkrator,8,-NP-,Smuruios,57,57
3813,VINO LEXON,Lexon,9,LhO,Smuruios,57,57
3814,ZombieLand,Malevolent,13,-NP-,Smuruios,57,57
3815,Palacio Peñarol,eLDie,6,None,Smuruios,57,57
3816,vinoteca,alsinaa,8,-NP-,Smuruios,57,57
3817,Vinito,Tyraell,10,-MaF-,Smuruios,57,57
3818,Cataldi,Mancloud,11,-NP-,Smuruios,57,57
3819,Vino 1,Kiling,10,LhO,Smuruios,57,57
3820,Leviatan,narbona,10,300,Smuruios,57,57
3821,Centenario,El Charrua,12,-NP-,Smuruios,57,57
3822,Lobo Gris,cesarLm,11,300,Smuruios,57,57
3823,Vega Sicilia,Odysseus-,11,LhO,Smuruios,57,57
3825,Amsterdam,El Charrua,13,-NP-,Wurios,57,59
3826,Piedron,Tyraell,13,-MaF-,Wurios,57,59
3827,Lobo Negro,cesarLm,14,300,Wurios,57,59
3828,CabezaDeVaca,Leptorian,13,-LR-,Wurios,57,59
3829,Santa Clara,Rosa Luxemburgo,7,None,Wurios,57,59
3830,LOBO III,SombraDeRosas,1,None,Wurios,57,59
3831,o__o,Richard Feynman,11,-LR-,Wurios,57,59
3832,Moche,centaur,12,None,Wurios,57,59
3833,o__o,Richard Feynman,11,-LR-,Wurios,57,59
3834,LOBO I,SombraDeRosas,10,None,Wurios,57,59
3835,Marmol 1,Kiling,12,LhO,Wurios,57,59
3836,Minas-tirith,Shail,10,-LR-,Wurios,57,59
3837,White,--Rolls Royce--,10,None,Wurios,57,59
3838,Edoras,StOn3,13,-CB-,Wurios,57,59
3839,Colombes,El Charrua,13,-NP-,Wurios,57,59
3840,TheStoneThrone,Fynhx,15,HDP,Wurios,57,59
3859,Feopolis,Cygnus,10,JPS,Omyos,56,63
3860,Polis,Zorobabel,2,None,Omyos,56,63
3861,Ferchopolis,El Fercho,5,JPS,Omyos,56,63
3862,Burgos,DavidBCF,5,None,Omyos,56,63
3863,TriNitroTolueno,GimleTt,9,JPS,Omyos,56,63
3865,Polis,acolomau,3,None,Omyos,56,63
3866,ElBilly,ElBilly,10,JPS,Omyos,56,63
3867,Polis,heroneos04,2,None,Omyos,56,63
3868,caballo de raly,nashyca,9,witu,Omyos,56,63
3869,illoWo,Hibendor,3,witu,Omyos,56,63
3870,Umbría,Corvoytale,2,None,Omyos,56,63
3872,Blue,Kazeh,8,JPS,Omyos,56,63
3873,Tecnopolis AR,RaidenDAmyRouse,9,JPS,Omyos,56,63
3874,Dilios,Drose,7,None,Omyos,56,63
3893,Gamonal,DavidBCF,7,None,Nemios,56,64
3894,Pella,Banuqasi,5,None,Nemios,56,64
3896,Irun,Adrirostro96,6,PTN,Nemios,56,64
3898,SAR 1,SNPC,4,None,Nemios,56,64
3899,Tale,Corvoytale,1,None,Nemios,56,64
3903,Ladooscuro,VecinoInfernal,3,None,Nemios,56,64
3904,Regatas,Nardo96,7,None,Nemios,56,64
3905,Stelios,Drose,2,None,Nemios,56,64
3906,Jack,JaZabala,5,None,Nemios,56,64
3907,Asgul,Nairini1990,8,None,Nemios,56,64
3910,feopolisMármol,Cygnus,10,JPS,Rhelyios,56,62
3911,AmyRouseMarmol,RaidenDAmyRouse,10,JPS,Rhelyios,56,62
3912,Marmorl,Hibendor,8,witu,Rhelyios,56,62
3913,Vecino Maldito,VecinoInfernal,7,None,Rhelyios,56,62
3914,Piatra,Pollux,2,PTN,Rhelyios,56,62
3916,LoReto_M,DG Zulo,1,None,Rhelyios,56,62
3917,Aden,Juanka,8,-NP-,Rhelyios,56,62
3918,Giran,Juanka,8,-NP-,Rhelyios,56,62
3919,BYP01m,byp01,6,PTN,Rhelyios,56,62
3920,Madrid,Jesus,3,None,Rhelyios,56,62
3921,Polis,Usi El Cursi,5,None,Rhelyios,56,62
3922,blimea,Palamedes-0853,8,None,Rhelyios,56,62
3923,Konoha Marmol,Kuxo,9,-NP-,Rhelyios,56,62
3924,Konoha Marmol 2,Kuxo,9,-NP-,Rhelyios,56,62
3925,Polis,Zpat095,6,PTN,Rhelyios,56,62
3927,Polis,Ljortega80,5,None,Ramiios,57,62
3928,Pólvora,AzzAzel,6,None,Ramiios,57,62
3929,azufrir,alsina,5,None,Ramiios,57,62
3930,Polis,Wiks,1,IRON,Ramiios,57,62
3931,Polis,Zurvank,6,None,Ramiios,57,62
3932,Polis,CasualeS,6,None,Ramiios,57,62
3933,Polis,LeGaTuS RaMeL,6,None,Ramiios,57,62
3934,Polis,KallitoKiller,6,None,Ramiios,57,62
3935,Polis,ASESIN0,6,None,Ramiios,57,62
3936,Polis,Divinitus,6,None,Ramiios,57,62
3937,Polis,Icarus-4399,1,None,Ramiios,57,62
3938,Cincópolis,Aldo,14,-CB-,Ramiios,57,62
3939,Azufrir,Zeus Pitufo,3,None,Ramiios,57,62
3940,Polis,Theseus-6748,3,None,Ramiios,57,62
3941,Polis,bebe,6,None,Ramiios,57,62
3942,Polis,LedCesar,6,None,Ramiios,57,62
3944,Polis,Virucy,3,None,Kelaos,57,63
3947,BarbaNegra,JaZabala,6,None,Kelaos,57,63
3948,Polis,Peleus-8283,4,None,Kelaos,57,63
3950,SAR,SNPC,6,None,Kelaos,57,63
3952,Tolis,Nairini1990,7,None,Kelaos,57,63
3953,Esparta,Gato43,4,-EE-,Kelaos,57,63
3954,Corvo,Corvoytale,5,None,Kelaos,57,63
3955,Grecia,Jason-8060,4,None,Kelaos,57,63
3957,Shugarth,Juanka,6,-NP-,Kelaos,57,63
3958,Sevilla,Jesus,4,None,Kelaos,57,63
3959,Odelot,Nocnarat,5,None,Kelaos,57,63
3961,Bastards city,nashyca,9,witu,Tanuos,57,61
3962,Polis,KuroshikiRD,1,IRON,Tanuos,57,61
3963,Hibendor,Hibendor,10,witu,Tanuos,57,61
3964,cristaleria,alsina,6,None,Tanuos,57,61
3965,Milanesa,Peleus-6219,10,None,Tanuos,57,61
3966,Wittuland,Wiks,7,IRON,Tanuos,57,61
3967,MacCristal01,MacOz,8,None,Tanuos,57,61
3968,Cristal 1,Kiling,1,LhO,Tanuos,57,61
3969,Polis,Ljortega80,1,None,Tanuos,57,61
3970,PAMBAR,Icarus-4171,3,None,Tanuos,57,61
3971,C-1,alquimista,11,-CB-,Tanuos,57,61
3972,Cristal,Josky,9,LhO,Tanuos,57,61
3973,empuries,disstamp,5,None,Tanuos,57,61
3975,AmyRouseCristal,RaidenDAmyRouse,6,JPS,Tanuos,57,61
3976,Polis,GimleTt,6,JPS,Tanuos,57,61
3980,Vinorl,Hibendor,7,witu,Mieciios,58,61
3995,Terranova l,Chamorro18,7,None,Engetia,58,62
3996,Polis,NAIMAD,7,PkPk,Engetia,58,62
3997,Wittucity,Wiks,8,IRON,Engetia,58,62
3998,Polis,GeoChan,10,LhO,Engetia,58,62
3999,Losmagosdeltrap,nashyca,9,witu,Engetia,58,62
4000,PalacioPearol,Peñarol,7,-NP-,Engetia,58,62
4001,LOBO II,SombraDeRosas,10,None,Engetia,58,62
4002,Disney,nicotheone_2007,3,None,Engetia,58,62
4003,Polis,eLDie,1,None,Engetia,58,62
4004,Roca Dragón,Kike-nieve,6,PkPk,Engetia,58,62
4005,Polis,Dora la explora,1,None,Engetia,58,62
4006,Empuries2,disstamp,1,None,Engetia,58,62
4007,Mam,Hesiode,2,None,Engetia,58,62
4008,Polis,Icarus-4171,1,None,Engetia,58,62
4009,Hestia 2,acolomau,5,None,Engetia,58,62
4010,Creta,Gato43,3,-EE-,Engetia,58,62
4015,SAR 2,SNPC,1,None,Zhaysios,58,63
4030,Raim,Hesiode,6,None,Mudios,59,59
4031,Heraklion,DAGOR53,8,ALM,Mudios,59,59
4032,Theriso,DAGOR53,7,ALM,Mudios,59,59
4034,Corinto,Krónos,9,-NP-,Mudios,59,59
4036,Polis,Kike-nieve,2,PkPk,Mudios,59,59
4037,Kattegat,Fran99,6,None,Mudios,59,59
4038,EmiratesStadium,FerickTM,5,None,Mudios,59,59
4039,MacVino02,MacOz,6,None,Mudios,59,59
4040,Polis_V,Menelaus-1440,5,-NP-,Mudios,59,59
4042,orkman,orkman01,5,None,Mudios,59,59
4043,Wall Sina,Laureani,11,-CB-,Mudios,59,59
4044,Sevilla,Mig,5,None,Mudios,59,59
4046,Esparta,Krónos,10,-NP-,Quaotia,59,58
4047,Penepolis,El Qkrator,6,-NP-,Quaotia,59,58
4048,SevillaEste,mariovazcrs,7,None,Quaotia,59,58
4049,wynver,narbona,10,300,Quaotia,59,58
4050,Damiani,Mancloud,11,-NP-,Quaotia,59,58
4051,Disneyland,El Qkrator,8,-NP-,Quaotia,59,58
4052,Polis,Icarus-5835,3,PTN,Quaotia,59,58
4053,lFuck l,Xl-Dante-lX,6,FLOR,Quaotia,59,58
4054,Suances,xosik,6,None,Quaotia,59,58
4055,Polis,El Pion,6,None,Quaotia,59,58
4056,Libresylokos,Eduzu,5,None,Quaotia,59,58
4057,Polis_P,Menelaus-1440,9,-NP-,Quaotia,59,58
4058,Zombieland2,Malevolent,10,-NP-,Quaotia,59,58
4059,Tarrega,Joan,10,-NP-,Quaotia,59,58
4060,Misterio,Romantiic016,3,-LR-,Quaotia,59,58
4061,Loutro,DAGOR53,8,ALM,Quaotia,59,58
4063,La Osadía,Granks,11,-LR-,Schimios,60,58
4064,Atenas,Keyser Söze,17,-CB-,Schimios,60,58
4065,Stalingrado,Rosa Luxemburgo,9,None,Schimios,60,58
4066,Terpolis,Aldo,15,-CB-,Schimios,60,58
4067,Grecia,Jack the ripper,9,300,Schimios,60,58
4068,Arlions,Lions,10,GOLD,Schimios,60,58
4069,Valyria,Aegon Targaryen,12,-CB-,Schimios,60,58
4070,Wall Rose,Laureani,14,-CB-,Schimios,60,58
4071,Polis,Hipertensión,1,None,Schimios,60,58
4072,US Open,Roger F,7,None,Schimios,60,58
4073,Tebas,Krónos,10,-NP-,Schimios,60,58
4074,Beira,Gotzo,8,None,Schimios,60,58
4075,Cristal,Sa89,7,None,Schimios,60,58
4076,Kimipolis,Jessi84,8,-A-,Schimios,60,58
4077,Ciutadilla,Joan,11,-NP-,Schimios,60,58
4078,Zombieland3,Malevolent,12,-NP-,Schimios,60,58
4080,Noxus,KuroshikiRD,10,IRON,Redaos,60,59
4081,Typhoon,Granks,10,-LR-,Redaos,60,59
4082,C_Polis,Menelaus-1440,8,-NP-,Redaos,60,59
4083,Polis,Hipertensión,2,None,Redaos,60,59
4084,Corinto,Emasterr,8,-LR-,Redaos,60,59
4085,Kimipolis2,Jessi84,7,-A-,Redaos,60,59
4087,Bizancio,Keyser Söze,12,-CB-,Redaos,60,59
4088,Polis,Laureani,1,-CB-,Redaos,60,59
4090,A-1,alquimista,11,-CB-,Redaos,60,59
4091,garnia,garnia,6,None,Redaos,60,59
4092,Gunner,FerickTM,3,None,Redaos,60,59
4093,Ortuondo,Gotzo,1,None,Redaos,60,59
4094,Mercia,Fran99,1,None,Redaos,60,59
4095,TERRANOVAll,Chamorro18,4,None,Redaos,60,59
4097,Polis,Roger F,1,None,Eldoos,60,60
4098,London Colney,FerickTM,10,None,Eldoos,60,60
4099,Forjaz,mew3t,8,-CB-,Eldoos,60,60
4100,Marmol 2,Sara,12,-CB-,Eldoos,60,60
4101,Secondopolis,Aldo,15,-CB-,Eldoos,60,60
4102,Pendelton,DarkSteban,14,-CB-,Eldoos,60,60
4103,Wall Maria,Laureani,13,-CB-,Eldoos,60,60
4104,MARMOL 2,Golden Gear,13,-CB-,Eldoos,60,60
4105,M-HEFESTO 2,-PoSElDoN-,13,-CB-,Eldoos,60,60
4106,M-2,alquimista,11,-CB-,Eldoos,60,60
4107,Lunargenta,mew3t,17,-CB-,Eldoos,60,60
4108,M01 HEF,Yumbo,10,-REV-,Eldoos,60,60
4109,Polis,Herakles-6774,1,None,Eldoos,60,60
4110,Lordaeron,mew3t,16,-CB-,Eldoos,60,60
4111,marmoleria,alsina,8,None,Eldoos,60,60
4112,Gott mit uns,Pulmonia,13,-CB-,Eldoos,60,60
4113,Pergamo,Keyser Söze,15,-CB-,Eldoos,60,60
4114,Polis,Rosa Luxemburgo,3,None,Radeos,61,59
4131,Polis,Theseus-1248,1,None,Enthuitia,61,60
4132,Polis_C,Menelaus-1440,8,-NP-,Enthuitia,61,60
4133,Polis,xosik,5,None,Enthuitia,61,60
4134,crixo el galo,gannicus,3,None,Enthuitia,61,60
4136,Polis,Tydeus-0363,1,None,Enthuitia,61,60
4137,Granada,YomellamoRalph,4,None,Enthuitia,61,60
4139,Cádiz,Mig,7,None,Enthuitia,61,60
4140,Polis,Tienes,2,None,Enthuitia,61,60
4141,Polis,Rek,3,None,Enthuitia,61,60
4143,Eixa,Shishu,5,None,Enthuitia,61,60
4146,Polis,nerkk,7,None,Enthuitia,61,60
4156,Polis,Sa89,1,None,Kavios,61,58
4165,Polis,Daedalus-7814,1,None,Etutia,59,56
4166,Legendario,Rotsen,4,None,Etutia,59,56
4169,Esparta,Pollux-6662,7,-LR-,Etutia,59,56
4170,Onuba,Azabache,7,LhO,Etutia,59,56
4171,DIABLOS,Diablo,3,None,Etutia,59,56
4175,FarthenDr,Nestor95,7,-LR-,Etutia,59,56
4176,corucionpolis,terra,2,None,Etutia,59,56
4177,Polis,Achilles-0726,1,-LR-,Etutia,59,56
4178,Teos,CastorIV,9,VDE,Etutia,59,56
4179,Itapéma,the destroyed,8,-LR-,Etutia,59,56
4180,Arkuazu,Jason-2072,1,None,Etutia,59,56
4182,Mariscal,Marzu,5,None,Llorios,60,56
4183,Polis,El Pion,8,None,Llorios,60,56
4184,Vaca,ElGato,8,IMP-V,Llorios,60,56
4185,La Vineda,Last Breath,2,None,Llorios,60,56
4186,La Vineda,LastBreath,7,None,Llorios,60,56
4187,Sacsayhuaman,Achilles-0726,6,-LR-,Llorios,60,56
4188,La Habana,Adrian,7,None,Llorios,60,56
4189,vinolia,garnia,6,None,Llorios,60,56
4190,LA MV,Eduzu,8,None,Llorios,60,56
4191,Rohan,Shail,9,-LR-,Llorios,60,56
4192,JOOKEER,Odysseus-5818,2,None,Llorios,60,56
4193,linfer17hn1,linfer17,11,LhO,Llorios,60,56
4194,Polis,Joan,5,-NP-,Llorios,60,56
4195,Rutini,the destroyed,10,-LR-,Llorios,60,56
4196,rod iland,Herakles-7573,8,None,Llorios,60,56
4197,Prinfus,Habidbu,5,None,Llorios,60,56
4199,Roca,Odysseus-,11,LhO,Pynneios,59,55
4200,linfer17hn2,linfer17,13,LhO,Pynneios,59,55
4201,Zen II,IamZen,4,None,Pynneios,59,55
4202,Zombieland4,Malevolent,12,-NP-,Pynneios,59,55
4203,Esparta,Emasterr,9,-LR-,Pynneios,59,55
4204,Delfín,Beam,12,-MaF-,Pynneios,59,55
4205,Mármol 3 LhO,El Dosinger,11,LhO,Pynneios,59,55
4206,Sitecity,antoniojmm1296,7,None,Pynneios,59,55
4207,Vasier,Habidbu,7,None,Pynneios,59,55
4208,Mar1,Jason-2072,8,None,Pynneios,59,55
4209,Arriandi,Gotzo,11,None,Pynneios,59,55
4210,PoSEIDoN Mármol,-PoSElDoN-,13,-CB-,Pynneios,59,55
4211,Venganza,Golden Gear,13,-CB-,Pynneios,59,55
4212,Mussa,Basuli,9,-LR-,Pynneios,59,55
4213,Apam,Drarrios,4,-LR-,Pynneios,59,55
4214,Murcia,M3rino,12,TGC,Pynneios,59,55
4215,Polis,white-noice,2,-LR-,Pynneios,59,55
4216,Lébedos,CastorIV,5,VDE,Blixios,60,55
4218,Serra,nohales,4,None,Blixios,60,55
4219,Polis,Pablolh75,5,None,Blixios,60,55
4220,Polis,Tod-Ñero,5,None,Blixios,60,55
4221,Pella,Emasterr,7,-LR-,Blixios,60,55
4222,Oviedo,Jorge92rf,5,None,Blixios,60,55
4223,Polis,Romantiic016,4,-LR-,Blixios,60,55
4224,Disney-cristal,Anabelita,8,-LR-,Blixios,60,55
4225,Las Palmas,Mencey Guedes,8,-LR-,Blixios,60,55
4227,Doy mimos,Rompenueces,14,HDP,Blixios,60,55
4228,Polis,Aegon Targaryen,1,-CB-,Blixios,60,55
4233,Auschwitz,SANTA CLAUS,5,None,Nodios,61,55
4234,Latyn city,white-noice,14,-LR-,Nodios,61,55
4235,Cuartel,General,13,-LR-,Nodios,61,55
4236,Mordor,Trismegisto H,12,Bro,Nodios,61,55
4237,Polis,pepet,7,None,Nodios,61,55
4238,Azufre,Capablanca,11,300,Nodios,61,55
